Player_0,Player_1,Player_2,Player_3,Wins_p0,Points_p0,Wins_p1,Points_p1,Rules
sl_2c,sl_3c,sl_2c,sl_3c,32,3473,34,3727,000
sl_2c,rl,sl_2c,rl,41,4461,21,3179,000
sl_3c,rl,sl_3c,rl,37,4011,23,3389,000
