Player_0,Player_1,Player_2,Player_3,Wins_p0,Points_p0,Wins_p1,Points_p1,Wins_p2,Points_p2,Wins_p3,Points_p3,Rules
sl_2c,sl_3c,rl,rand,18,1955,17,2032,11,1747,16,1906,000
sl_2c,sl_3c,rand,rl,19,2085,13,1955,14,1597,15,2023,000
sl_2c,rl,sl_3c,rand,13,1827,13,1666,21,2043,14,1924,000
sl_2c,rl,rand,sl_3c,17,2125,15,1864,19,1810,9,1781,000
sl_2c,rand,rl,sl_3c,14,1815,13,1693,14,2048,21,2184,000
sl_2c,rand,sl_3c,rl,19,2136,17,2172,13,1837,12,1655,000
