Player_0,Player_1,Player_2,Wins_p0,Points_p0,Wins_p1,Points_p1,Wins_p2,Points_p2,Rules
sl_2c,sl_3c,rl,25,2815,24,2519,11,2140,000
sl_3c,sl_2c,rl,22,2619,33,2890,7,1751,000
