Player_0,Player_1,Player_2,Wins_p0,Points_p0,Wins_p1,Points_p1,Wins_p2,Points_p2,Rules
sl_2c,sl_3c,rl,24,2559,17,2573,20,2363,000
sl_3c,sl_2c,rl,18,2904,24,2382,18,2411,000
