Player_0,Player_1,Player_2,Player_3,Wins_p0,Points_p0,Wins_p1,Points_p1,Rules
sl_2c,sl_3c,sl_2c,sl_3c,27,3375,34,4105,000
sl_2c,rl,sl_2c,rl,31,3957,30,3583,000
sl_3c,rl,sl_3c,rl,31,3678,29,3822,000
