Player_0,Player_1,Player_2,Player_3,Wins_p0,Points_p0,Wins_p1,Points_p1,Wins_p2,Points_p2,Wins_p3,Points_p3,Rules
sl_2c,sl_3c,rl,rand,16,1931,17,1987,14,1643,13,1639,000
sl_2c,sl_3c,rand,rl,16,1976,18,1832,14,1802,13,1590,000
sl_2c,rl,sl_3c,rand,16,1792,18,1852,19,2092,11,1464,000
sl_2c,rl,rand,sl_3c,17,1862,17,1848,12,1593,15,1897,000
sl_2c,rand,rl,sl_3c,15,1653,10,1589,13,1670,22,2288,000
sl_2c,rand,sl_3c,rl,17,1930,11,1453,19,2075,14,1742,000
