Player_0,Player_1,Player_2,Wins_p0,Points_p0,Wins_p1,Points_p1,Wins_p2,Points_p2,Rules
sl_2c,sl_3c,rl,12,2047,37,3184,12,1773,000
sl_3c,sl_2c,rl,27,2780,24,2642,9,1616,000
