Model name,Wins,Points
ga_generation_7_nn_20.keras, 2, 297
ga_generation_7_nn_5.keras, 2, 390
ga_generation_7_nn_14.keras, 1, 255
ga_generation_7_nn_18.keras, 2, 373
ga_generation_7_nn_4.keras, 2, 352
ga_generation_7_nn_6.keras, 1, 309
ga_generation_7_nn_2.keras, 1, 322
ga_generation_7_nn_12.keras, 1, 313
ga_generation_7_nn_8.keras, 2, 345
ga_generation_7_nn_3.keras, 1, 303
ga_generation_7_nn_13.keras, 0, 323
ga_generation_7_nn_9.keras, 4, 429
ga_generation_7_nn_11.keras, 1, 268
ga_generation_7_nn_7.keras, 2, 336
ga_generation_7_nn_10.keras, 1, 273
ga_generation_7_nn_15.keras, 1, 327
ga_generation_8_nn_6.keras, 2, 272
ga_generation_8_nn_7.keras, 0, 286
ga_generation_8_nn_1.keras, 1, 387
ga_generation_8_nn_18.keras, 1, 325
ga_generation_8_nn_15.keras, 0, 344
ga_generation_8_nn_16.keras, 0, 266
ga_generation_8_nn_11.keras, 3, 395
ga_generation_8_nn_20.keras, 1, 292
ga_generation_8_nn_10.keras, 2, 367
ga_generation_8_nn_17.keras, 0, 273
ga_generation_8_nn_8.keras, 1, 363
ga_generation_8_nn_14.keras, 1, 260
ga_generation_8_nn_19.keras, 0, 307
ga_generation_8_nn_4.keras, 0, 231
ga_generation_8_nn_12.keras, 1, 332
ga_generation_8_nn_9.keras, 2, 323
ga_generation_8_nn_2.keras, 0, 271
ga_generation_8_nn_13.keras, 1, 303
ga_generation_8_nn_5.keras, 0, 256
ga_generation_8_nn_3.keras, 2, 420
ga_generation_9_nn_13.keras, 3, 396
ga_generation_9_nn_4.keras, 0, 302
ga_generation_9_nn_16.keras, 1, 311
ga_generation_9_nn_20.keras, 1, 332
ga_generation_9_nn_12.keras, 2, 270
ga_generation_9_nn_19.keras, 1, 284
ga_generation_9_nn_18.keras, 2, 400
ga_generation_9_nn_3.keras, 0, 293
ga_generation_9_nn_9.keras, 4, 436
ga_generation_9_nn_15.keras, 0, 258
ga_generation_9_nn_5.keras, 3, 419
ga_generation_9_nn_14.keras, 4, 374
ga_generation_9_nn_7.keras, 4, 386
ga_generation_9_nn_11.keras, 2, 411
ga_generation_9_nn_1.keras, 3, 470
ga_generation_9_nn_8.keras, 0, 284
ga_generation_9_nn_17.keras, 1, 308
ga_generation_9_nn_6.keras, 1, 347
ga_generation_9_nn_2.keras, 2, 319
ga_generation_9_nn_10.keras, 1, 314
ga_generation_10_nn_20.keras, 1, 343
ga_generation_10_nn_4.keras, 1, 317
ga_generation_10_nn_14.keras, 0, 319
ga_generation_10_nn_3.keras, 2, 302
ga_generation_10_nn_5.keras, 2, 324
ga_generation_10_nn_12.keras, 0, 244
ga_generation_10_nn_6.keras, 2, 345
ga_generation_10_nn_15.keras, 1, 317
ga_generation_10_nn_18.keras, 1, 214
ga_generation_10_nn_10.keras, 2, 349
ga_generation_10_nn_7.keras, 0, 256
ga_generation_10_nn_13.keras, 0, 243
ga_generation_10_nn_9.keras, 3, 391
ga_generation_10_nn_11.keras, 3, 431
ga_generation_10_nn_2.keras, 2, 352
ga_generation_10_nn_19.keras, 1, 383
ga_generation_10_nn_8.keras, 0, 267
ga_generation_10_nn_1.keras, 2, 336
ga_generation_10_nn_16.keras, 1, 289
ga_generation_10_nn_17.keras, 0, 302
ga_generation_11_nn_20.keras, 1, 360
ga_generation_11_nn_15.keras, 3, 395
ga_generation_11_nn_2.keras, 0, 232
ga_generation_11_nn_9.keras, 1, 301
ga_generation_11_nn_7.keras, 1, 336
ga_generation_11_nn_12.keras, 3, 466
ga_generation_11_nn_4.keras, 1, 341
ga_generation_11_nn_6.keras, 0, 310
ga_generation_11_nn_19.keras, 5, 405
ga_generation_11_nn_11.keras, 1, 319
ga_generation_11_nn_3.keras, 2, 359
ga_generation_11_nn_18.keras, 0, 284
ga_generation_11_nn_8.keras, 1, 304
ga_generation_11_nn_16.keras, 3, 383
ga_generation_11_nn_14.keras, 0, 237
ga_generation_11_nn_10.keras, 0, 300
ga_generation_11_nn_5.keras, 2, 338
ga_generation_11_nn_13.keras, 1, 275
ga_generation_11_nn_1.keras, 0, 316
ga_generation_11_nn_17.keras, 1, 288
ga_generation_12_nn_10.keras, 0, 253
ga_generation_12_nn_17.keras, 2, 397
ga_generation_12_nn_5.keras, 1, 307
ga_generation_12_nn_8.keras, 0, 290
ga_generation_12_nn_11.keras, 0, 285
ga_generation_12_nn_7.keras, 0, 313
ga_generation_12_nn_18.keras, 1, 319
ga_generation_12_nn_1.keras, 1, 344
ga_generation_12_nn_14.keras, 3, 355
ga_generation_12_nn_15.keras, 3, 407
ga_generation_12_nn_4.keras, 1, 313
ga_generation_12_nn_3.keras, 2, 323
ga_generation_12_nn_13.keras, 1, 321
ga_generation_12_nn_20.keras, 0, 271
ga_generation_12_nn_16.keras, 2, 381
ga_generation_12_nn_9.keras, 0, 298
ga_generation_12_nn_12.keras, 1, 283
ga_generation_12_nn_2.keras, 3, 424
ga_generation_12_nn_6.keras, 3, 417
ga_generation_12_nn_19.keras, 2, 401
ga_generation_13_nn_7.keras, 2, 332
ga_generation_13_nn_16.keras, 1, 321
ga_generation_13_nn_6.keras, 2, 313
ga_generation_13_nn_18.keras, 0, 303
ga_generation_13_nn_4.keras, 2, 343
ga_generation_13_nn_1.keras, 0, 296
ga_generation_13_nn_10.keras, 0, 299
ga_generation_13_nn_17.keras, 1, 346
ga_generation_13_nn_13.keras, 2, 354
ga_generation_13_nn_3.keras, 3, 382
ga_generation_13_nn_19.keras, 3, 383
ga_generation_13_nn_14.keras, 3, 435
ga_generation_13_nn_5.keras, 1, 325
ga_generation_13_nn_8.keras, 3, 365
ga_generation_13_nn_11.keras, 1, 373
ga_generation_13_nn_2.keras, 0, 313
ga_generation_13_nn_20.keras, 1, 301
ga_generation_13_nn_15.keras, 0, 278
ga_generation_13_nn_9.keras, 3, 394
ga_generation_13_nn_12.keras, 0, 264
ga_generation_14_nn_9.keras, 0, 220
ga_generation_14_nn_2.keras, 2, 337
ga_generation_14_nn_3.keras, 0, 224
ga_generation_14_nn_17.keras, 1, 253
ga_generation_14_nn_14.keras, 2, 366
ga_generation_14_nn_6.keras, 2, 342
ga_generation_14_nn_20.keras, 1, 342
ga_generation_14_nn_19.keras, 0, 342
ga_generation_14_nn_13.keras, 0, 280
ga_generation_14_nn_5.keras, 0, 248
ga_generation_14_nn_16.keras, 0, 343
ga_generation_14_nn_12.keras, 3, 360
ga_generation_14_nn_15.keras, 2, 366
ga_generation_14_nn_10.keras, 0, 247
ga_generation_14_nn_18.keras, 1, 301
ga_generation_14_nn_7.keras, 1, 367
ga_generation_14_nn_8.keras, 0, 331
ga_generation_14_nn_4.keras, 0, 295
ga_generation_14_nn_1.keras, 1, 364
ga_generation_14_nn_11.keras, 0, 249
ga_generation_15_nn_13.keras, 2, 396
ga_generation_15_nn_14.keras, 1, 293
ga_generation_15_nn_3.keras, 0, 265
ga_generation_15_nn_20.keras, 0, 265
ga_generation_15_nn_15.keras, 1, 310
ga_generation_15_nn_4.keras, 2, 417
ga_generation_15_nn_7.keras, 1, 292
ga_generation_15_nn_10.keras, 1, 354
ga_generation_15_nn_9.keras, 0, 236
ga_generation_15_nn_8.keras, 0, 309
ga_generation_15_nn_16.keras, 2, 315
ga_generation_15_nn_18.keras, 3, 376
ga_generation_15_nn_11.keras, 1, 351
ga_generation_15_nn_1.keras, 0, 245
ga_generation_15_nn_5.keras, 2, 302
ga_generation_15_nn_12.keras, 0, 357
ga_generation_15_nn_2.keras, 1, 331
ga_generation_15_nn_17.keras, 1, 367
ga_generation_15_nn_6.keras, 3, 422
ga_generation_15_nn_19.keras, 3, 355
ga_generation_16_nn_18.keras, 0, 233
ga_generation_16_nn_13.keras, 2, 327
ga_generation_16_nn_10.keras, 1, 297
ga_generation_16_nn_2.keras, 0, 309
ga_generation_16_nn_12.keras, 0, 253
ga_generation_16_nn_9.keras, 2, 354
ga_generation_16_nn_4.keras, 4, 455
ga_generation_16_nn_14.keras, 3, 360
ga_generation_16_nn_7.keras, 1, 356
ga_generation_16_nn_5.keras, 0, 186
ga_generation_16_nn_16.keras, 1, 287
ga_generation_16_nn_15.keras, 3, 359
ga_generation_16_nn_17.keras, 1, 287
ga_generation_16_nn_19.keras, 1, 329
ga_generation_16_nn_3.keras, 0, 323
ga_generation_16_nn_8.keras, 1, 357
ga_generation_16_nn_1.keras, 1, 309
ga_generation_16_nn_6.keras, 1, 266
ga_generation_16_nn_11.keras, 0, 264
ga_generation_16_nn_20.keras, 1, 322
ga_generation_17_nn_7.keras, 2, 260
ga_generation_17_nn_6.keras, 1, 301
ga_generation_17_nn_1.keras, 2, 280
ga_generation_17_nn_17.keras, 1, 312
ga_generation_17_nn_10.keras, 2, 405
ga_generation_17_nn_18.keras, 1, 286
ga_generation_17_nn_5.keras, 0, 296
ga_generation_17_nn_13.keras, 1, 311
ga_generation_17_nn_11.keras, 0, 275
ga_generation_17_nn_20.keras, 3, 371
ga_generation_17_nn_16.keras, 4, 404
ga_generation_17_nn_4.keras, 2, 333
ga_generation_17_nn_19.keras, 1, 262
ga_generation_17_nn_2.keras, 1, 260
ga_generation_17_nn_9.keras, 3, 323
ga_generation_17_nn_15.keras, 1, 325
ga_generation_17_nn_12.keras, 1, 331
ga_generation_17_nn_3.keras, 1, 282
ga_generation_17_nn_14.keras, 1, 331
ga_generation_17_nn_8.keras, 0, 290
ga_generation_18_nn_7.keras, 1, 341
ga_generation_18_nn_6.keras, 2, 371
ga_generation_18_nn_18.keras, 2, 322
ga_generation_18_nn_10.keras, 1, 284
ga_generation_18_nn_1.keras, 0, 245
ga_generation_18_nn_9.keras, 1, 305
ga_generation_18_nn_13.keras, 1, 366
ga_generation_18_nn_5.keras, 3, 424
ga_generation_18_nn_20.keras, 2, 327
ga_generation_18_nn_4.keras, 0, 216
ga_generation_18_nn_16.keras, 2, 355
ga_generation_18_nn_3.keras, 1, 293
ga_generation_18_nn_12.keras, 0, 291
ga_generation_18_nn_14.keras, 2, 328
ga_generation_18_nn_2.keras, 1, 347
ga_generation_18_nn_15.keras, 1, 334
ga_generation_18_nn_8.keras, 1, 362
ga_generation_18_nn_11.keras, 1, 361
ga_generation_18_nn_19.keras, 3, 352
ga_generation_18_nn_17.keras, 4, 425
ga_generation_19_nn_19.keras, 1, 330
ga_generation_19_nn_8.keras, 0, 276
ga_generation_19_nn_5.keras, 1, 339
ga_generation_19_nn_11.keras, 0, 283
ga_generation_19_nn_16.keras, 0, 281
ga_generation_19_nn_7.keras, 1, 293
ga_generation_19_nn_3.keras, 1, 225
ga_generation_19_nn_1.keras, 0, 318
ga_generation_19_nn_17.keras, 0, 302
ga_generation_19_nn_12.keras, 0, 273
ga_generation_19_nn_20.keras, 3, 349
ga_generation_19_nn_10.keras, 1, 328
ga_generation_19_nn_6.keras, 1, 354
ga_generation_19_nn_18.keras, 2, 370
ga_generation_19_nn_13.keras, 2, 366
ga_generation_19_nn_2.keras, 0, 329
ga_generation_19_nn_4.keras, 0, 235
ga_generation_19_nn_9.keras, 1, 371
ga_generation_19_nn_15.keras, 0, 283
ga_generation_19_nn_14.keras, 2, 435
ga_generation_20_nn_8.keras, 3, 338
ga_generation_20_nn_2.keras, 1, 265
ga_generation_20_nn_18.keras, 1, 339
ga_generation_20_nn_10.keras, 1, 321
ga_generation_20_nn_4.keras, 0, 317
ga_generation_20_nn_20.keras, 2, 316
ga_generation_20_nn_13.keras, 0, 237
ga_generation_20_nn_12.keras, 1, 360
