Model name,Wins,Points
ga_generation_4_nn_28.keras, 2, 430
ga_generation_4_nn_25.keras, 3, 433
ga_generation_4_nn_15.keras, 5, 482
ga_generation_4_nn_24.keras, 2, 506
ga_generation_4_nn_7.keras, 4, 485
ga_generation_4_nn_14.keras, 3, 533
ga_generation_3_nn_25.keras, 1, 429
ga_generation_3_nn_20.keras, 1, 497
ga_generation_4_nn_11.keras, 1, 346
ga_generation_4_nn_27.keras, 0, 400
ga_generation_4_nn_32.keras, 4, 583
ga_generation_3_nn_23.keras, 2, 437
ga_generation_4_nn_16.keras, 0, 305
ga_generation_4_nn_18.keras, 2, 453
ga_generation_3_nn_28.keras, 5, 541
ga_generation_4_nn_29.keras, 2, 430
ga_generation_5_nn_20.keras, 2, 380
ga_generation_3_nn_28.keras, 3, 527
ga_generation_5_nn_25.keras, 3, 474
ga_generation_5_nn_8.keras, 4, 492
ga_generation_5_nn_18.keras, 1, 413
ga_generation_5_nn_12.keras, 2, 437
ga_generation_5_nn_19.keras, 2, 462
ga_generation_4_nn_32.keras, 4, 543
ga_generation_5_nn_9.keras, 3, 523
ga_generation_4_nn_8.keras, 2, 424
ga_generation_5_nn_11.keras, 1, 484
ga_generation_4_nn_7.keras, 3, 529
ga_generation_5_nn_31.keras, 3, 475
ga_generation_5_nn_28.keras, 1, 406
ga_generation_5_nn_15.keras, 1, 442
ga_generation_5_nn_17.keras, 1, 466
ga_generation_5_nn_21.keras, 2, 366
ga_generation_5_nn_26.keras, 5, 548
ga_generation_5_nn_27.keras, 3, 518
ga_generation_5_nn_24.keras, 4, 520
ga_generation_5_nn_13.keras, 1, 423
ga_generation_5_nn_14.keras, 2, 438
ga_generation_5_nn_23.keras, 2, 456
ga_generation_4_nn_21.keras, 0, 380
ga_generation_5_nn_10.keras, 2, 426
ga_generation_5_nn_16.keras, 2, 512
ga_generation_5_nn_29.keras, 1, 444
ga_generation_5_nn_22.keras, 4, 568
ga_generation_5_nn_30.keras, 4, 562
ga_generation_5_nn_32.keras, 2, 452
ga_generation_4_nn_15.keras, 1, 433
ga_generation_5_nn_7.keras, 3, 471
ga_generation_6_nn_25.keras, 3, 435
ga_generation_6_nn_11.keras, 3, 508
ga_generation_6_nn_22.keras, 2, 494
ga_generation_5_nn_30.keras, 3, 544
ga_generation_6_nn_32.keras, 2, 499
ga_generation_6_nn_17.keras, 4, 443
ga_generation_6_nn_18.keras, 2, 475
ga_generation_6_nn_24.keras, 4, 529
ga_generation_6_nn_19.keras, 2, 411
ga_generation_6_nn_16.keras, 1, 459
ga_generation_4_nn_32.keras, 0, 373
ga_generation_6_nn_8.keras, 2, 538
ga_generation_6_nn_29.keras, 0, 388
ga_generation_6_nn_21.keras, 1, 418
ga_generation_6_nn_9.keras, 4, 525
ga_generation_5_nn_8.keras, 2, 416
ga_generation_6_nn_10.keras, 0, 344
ga_generation_6_nn_27.keras, 3, 484
ga_generation_6_nn_14.keras, 7, 601
ga_generation_6_nn_26.keras, 2, 485
ga_generation_6_nn_20.keras, 2, 455
ga_generation_5_nn_26.keras, 3, 501
ga_generation_6_nn_23.keras, 2, 443
ga_generation_6_nn_13.keras, 2, 464
ga_generation_6_nn_15.keras, 4, 463
ga_generation_6_nn_12.keras, 2, 479
ga_generation_6_nn_31.keras, 4, 540
ga_generation_5_nn_22.keras, 3, 435
ga_generation_6_nn_30.keras, 1, 345
ga_generation_5_nn_24.keras, 2, 467
ga_generation_6_nn_28.keras, 5, 558
ga_generation_6_nn_7.keras, 4, 524
