Model name,Wins,Points
ga_generation_6_nn_15.keras, 0, 218
ga_generation_9_nn_11.keras, 2, 391
ga_generation_8_nn_7.keras, 3, 376
ga_generation_9_nn_9.keras, 2, 379
ga_generation_9_nn_10.keras, 1, 327
ga_generation_7_nn_15.keras, 1, 303
ga_generation_4_nn_10.keras, 2, 388
ga_generation_9_nn_12.keras, 2, 327
ga_generation_8_nn_13.keras, 0, 205
ga_generation_9_nn_14.keras, 1, 311
ga_generation_9_nn_8.keras, 0, 325
ga_generation_7_nn_16.keras, 0, 301
ga_generation_9_nn_13.keras, 0, 271
ga_generation_9_nn_15.keras, 0, 262
ga_generation_9_nn_16.keras, 1, 313
ga_generation_9_nn_7.keras, 1, 362
ga_generation_10_nn_16.keras, 0, 312
ga_generation_9_nn_7.keras, 0, 262
ga_generation_10_nn_15.keras, 1, 254
ga_generation_9_nn_12.keras, 2, 390
ga_generation_9_nn_9.keras, 2, 372
ga_generation_10_nn_11.keras, 0, 238
ga_generation_10_nn_12.keras, 0, 320
ga_generation_10_nn_8.keras, 2, 425
ga_generation_4_nn_10.keras, 4, 425
ga_generation_10_nn_10.keras, 0, 333
ga_generation_8_nn_7.keras, 0, 305
ga_generation_9_nn_11.keras, 1, 325
ga_generation_10_nn_9.keras, 0, 330
ga_generation_10_nn_14.keras, 2, 314
ga_generation_10_nn_13.keras, 3, 395
ga_generation_10_nn_7.keras, 1, 302
ga_generation_10_nn_14.keras, 1, 313
ga_generation_11_nn_13.keras, 0, 275
ga_generation_11_nn_15.keras, 2, 385
ga_generation_10_nn_13.keras, 0, 300
ga_generation_9_nn_9.keras, 1, 323
ga_generation_11_nn_14.keras, 1, 303
ga_generation_9_nn_12.keras, 0, 268
ga_generation_11_nn_12.keras, 2, 390
ga_generation_11_nn_11.keras, 1, 328
ga_generation_11_nn_16.keras, 0, 245
ga_generation_11_nn_9.keras, 0, 272
ga_generation_11_nn_7.keras, 2, 313
ga_generation_11_nn_8.keras, 3, 374
ga_generation_10_nn_8.keras, 1, 334
ga_generation_11_nn_10.keras, 2, 350
ga_generation_4_nn_10.keras, 0, 294
ga_generation_12_nn_7.keras, 1, 318
ga_generation_11_nn_8.keras, 0, 285
ga_generation_12_nn_8.keras, 2, 310
ga_generation_12_nn_9.keras, 0, 224
ga_generation_12_nn_11.keras, 0, 252
ga_generation_12_nn_10.keras, 2, 372
ga_generation_11_nn_10.keras, 1, 344
ga_generation_11_nn_12.keras, 2, 405
ga_generation_12_nn_13.keras, 2, 332
ga_generation_10_nn_8.keras, 0, 277
ga_generation_12_nn_14.keras, 2, 292
ga_generation_12_nn_15.keras, 2, 398
ga_generation_12_nn_16.keras, 0, 297
ga_generation_11_nn_7.keras, 1, 321
ga_generation_12_nn_12.keras, 1, 380
ga_generation_11_nn_15.keras, 0, 249
ga_generation_12_nn_8.keras, 0, 237
ga_generation_13_nn_13.keras, 3, 372
ga_generation_13_nn_7.keras, 2, 361
ga_generation_13_nn_10.keras, 3, 356
ga_generation_12_nn_10.keras, 2, 351
ga_generation_13_nn_8.keras, 2, 352
ga_generation_12_nn_15.keras, 2, 358
ga_generation_13_nn_14.keras, 1, 365
ga_generation_12_nn_13.keras, 2, 356
ga_generation_13_nn_15.keras, 0, 280
ga_generation_13_nn_11.keras, 0, 275
ga_generation_13_nn_9.keras, 0, 284
ga_generation_12_nn_14.keras, 1, 332
ga_generation_13_nn_16.keras, 1, 362
ga_generation_11_nn_12.keras, 1, 302
ga_generation_13_nn_12.keras, 0, 225
ga_generation_12_nn_15.keras, 0, 263
ga_generation_14_nn_7.keras, 2, 351
ga_generation_14_nn_10.keras, 2, 304
ga_generation_14_nn_11.keras, 0, 298
ga_generation_12_nn_13.keras, 0, 286
ga_generation_13_nn_10.keras, 0, 349
ga_generation_14_nn_14.keras, 0, 263
ga_generation_14_nn_13.keras, 0, 290
ga_generation_14_nn_16.keras, 0, 246
ga_generation_13_nn_7.keras, 2, 341
ga_generation_14_nn_8.keras, 1, 328
ga_generation_13_nn_8.keras, 1, 340
ga_generation_13_nn_13.keras, 3, 348
ga_generation_14_nn_15.keras, 0, 296
ga_generation_14_nn_12.keras, 0, 275
ga_generation_14_nn_9.keras, 1, 321
ga_generation_14_nn_8.keras, 1, 332
ga_generation_15_nn_7.keras, 1, 315
ga_generation_15_nn_13.keras, 0, 278
ga_generation_15_nn_8.keras, 0, 345
ga_generation_15_nn_9.keras, 1, 355
ga_generation_13_nn_13.keras, 1, 308
ga_generation_15_nn_11.keras, 0, 301
ga_generation_14_nn_7.keras, 3, 387
ga_generation_15_nn_16.keras, 2, 376
ga_generation_14_nn_10.keras, 1, 309
ga_generation_13_nn_8.keras, 0, 304
ga_generation_15_nn_14.keras, 2, 386
ga_generation_15_nn_10.keras, 1, 271
ga_generation_15_nn_15.keras, 1, 257
ga_generation_15_nn_12.keras, 2, 311
ga_generation_13_nn_7.keras, 0, 237
ga_generation_15_nn_9.keras, 0, 303
ga_generation_16_nn_10.keras, 1, 252
ga_generation_16_nn_13.keras, 1, 335
ga_generation_16_nn_8.keras, 1, 267
ga_generation_16_nn_7.keras, 0, 289
ga_generation_14_nn_8.keras, 1, 301
ga_generation_16_nn_11.keras, 1, 357
ga_generation_14_nn_7.keras, 1, 362
ga_generation_16_nn_9.keras, 2, 370
ga_generation_16_nn_12.keras, 2, 367
ga_generation_15_nn_12.keras, 0, 254
ga_generation_16_nn_16.keras, 2, 335
ga_generation_15_nn_16.keras, 1, 294
ga_generation_15_nn_14.keras, 2, 399
ga_generation_16_nn_15.keras, 2, 358
ga_generation_16_nn_14.keras, 1, 332
ga_generation_17_nn_8.keras, 2, 359
ga_generation_16_nn_12.keras, 2, 303
ga_generation_17_nn_13.keras, 0, 269
ga_generation_16_nn_9.keras, 4, 490
ga_generation_17_nn_14.keras, 1, 320
ga_generation_15_nn_14.keras, 1, 263
ga_generation_17_nn_9.keras, 1, 346
ga_generation_16_nn_15.keras, 2, 319
ga_generation_17_nn_10.keras, 4, 457
ga_generation_17_nn_11.keras, 1, 307
ga_generation_17_nn_16.keras, 2, 337
ga_generation_17_nn_12.keras, 0, 209
ga_generation_14_nn_7.keras, 0, 306
ga_generation_17_nn_7.keras, 2, 367
ga_generation_16_nn_16.keras, 2, 343
ga_generation_17_nn_15.keras, 1, 246
