Model name,Wins,Points
ga_generation_0_nn_3.keras, 3, 662
ga_generation_0_nn_9.keras, 2, 618
ga_generation_0_nn_26.keras, 3, 617
ga_generation_0_nn_23.keras, 1, 618
ga_generation_0_nn_15.keras, 1, 566
ga_generation_0_nn_30.keras, 2, 628
ga_generation_0_nn_8.keras, 5, 788
ga_generation_0_nn_5.keras, 8, 832
ga_generation_0_nn_19.keras, 1, 692
ga_generation_0_nn_11.keras, 0, 592
ga_generation_0_nn_7.keras, 1, 642
ga_generation_0_nn_17.keras, 0, 609
ga_generation_0_nn_16.keras, 1, 546
ga_generation_0_nn_18.keras, 2, 681
ga_generation_0_nn_2.keras, 3, 661
ga_generation_0_nn_4.keras, 4, 741
ga_generation_0_nn_22.keras, 1, 632
ga_generation_0_nn_10.keras, 3, 753
ga_generation_0_nn_25.keras, 1, 577
ga_generation_0_nn_13.keras, 2, 637
ga_generation_0_nn_1.keras, 1, 665
ga_generation_0_nn_24.keras, 2, 682
ga_generation_0_nn_21.keras, 1, 657
ga_generation_0_nn_31.keras, 3, 672
ga_generation_0_nn_27.keras, 0, 515
ga_generation_0_nn_20.keras, 2, 597
ga_generation_0_nn_29.keras, 2, 630
ga_generation_0_nn_28.keras, 3, 688
ga_generation_0_nn_12.keras, 3, 742
ga_generation_0_nn_14.keras, 3, 588
ga_generation_0_nn_6.keras, 4, 632
ga_generation_0_nn_32.keras, 1, 609
ga_generation_1_nn_23.keras, 3, 729
ga_generation_1_nn_16.keras, 1, 603
ga_generation_0_nn_12.keras, 0, 571
ga_generation_1_nn_24.keras, 1, 552
ga_generation_0_nn_6.keras, 3, 700
ga_generation_0_nn_5.keras, 0, 523
ga_generation_1_nn_27.keras, 2, 659
ga_generation_1_nn_19.keras, 1, 594
ga_generation_1_nn_15.keras, 0, 504
ga_generation_1_nn_26.keras, 2, 640
ga_generation_1_nn_25.keras, 1, 696
ga_generation_1_nn_32.keras, 1, 564
ga_generation_1_nn_10.keras, 2, 694
ga_generation_1_nn_31.keras, 4, 698
ga_generation_1_nn_17.keras, 5, 732
ga_generation_1_nn_12.keras, 2, 725
ga_generation_1_nn_9.keras, 5, 763
ga_generation_0_nn_8.keras, 3, 611
ga_generation_1_nn_18.keras, 4, 747
ga_generation_0_nn_10.keras, 2, 616
ga_generation_1_nn_30.keras, 2, 612
ga_generation_1_nn_28.keras, 4, 715
ga_generation_1_nn_22.keras, 4, 682
ga_generation_0_nn_4.keras, 2, 641
ga_generation_0_nn_31.keras, 4, 678
ga_generation_1_nn_20.keras, 2, 559
ga_generation_1_nn_21.keras, 0, 561
