Model name,Parent model 1,Parent model 2,Crossover ratio,Crossover function,Mutation ratio,Mutation function
'ga_generation_1_nn_9', 'ga_generation_0_nn_28.keras', 'ga_generation_0_nn_31.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_10', 'ga_generation_0_nn_28.keras', 'ga_generation_0_nn_31.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_11', 'ga_generation_0_nn_31.keras', 'ga_generation_0_nn_8.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_12', 'ga_generation_0_nn_31.keras', 'ga_generation_0_nn_8.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_13', 'ga_generation_0_nn_10.keras', 'ga_generation_0_nn_4.keras', '1.0', '__uniform_crossover', '0.0', 'None'
'ga_generation_1_nn_14', 'ga_generation_0_nn_10.keras', 'ga_generation_0_nn_4.keras', '1.0', '__uniform_crossover', '0.0', 'None'
'ga_generation_1_nn_15', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_5.keras', '1.0', '__linear_recombination_crossover', '0.0', 'None'
'ga_generation_1_nn_16', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_5.keras', '1.0', '__linear_recombination_crossover', '0.0', 'None'
'ga_generation_1_nn_17', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_28.keras', '1.0', '__uniform_crossover', '0.0', 'None'
'ga_generation_1_nn_18', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_28.keras', '1.0', '__uniform_crossover', '0.0', 'None'
'ga_generation_1_nn_19', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_6.keras', '1.0', '__linear_recombination_crossover', '0.0', 'None'
'ga_generation_1_nn_20', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_6.keras', '1.0', '__linear_recombination_crossover', '0.0', 'None'
'ga_generation_1_nn_21', 'ga_generation_0_nn_28.keras', 'ga_generation_0_nn_4.keras', '1.0', '__linear_recombination_crossover', '0.0', 'None'
'ga_generation_1_nn_22', 'ga_generation_0_nn_28.keras', 'ga_generation_0_nn_4.keras', '1.0', '__linear_recombination_crossover', '0.0', 'None'
'ga_generation_1_nn_23', 'ga_generation_0_nn_12.keras', 'ga_generation_0_nn_5.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_24', 'ga_generation_0_nn_12.keras', 'ga_generation_0_nn_5.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_25', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_10.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_26', 'ga_generation_0_nn_4.keras', 'ga_generation_0_nn_10.keras', '1.0', '__multi_point_crossover', '0.0', 'None'
'ga_generation_1_nn_27', 'ga_generation_0_nn_28.keras', 'ga_generation_0_nn_12.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_28', 'ga_generation_0_nn_28.keras', 'ga_generation_0_nn_12.keras', '1.0', '__arithmetic_crossover', '0.0', 'None'
'ga_generation_1_nn_29', 'ga_generation_0_nn_6.keras', 'ga_generation_0_nn_28.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_30', 'ga_generation_0_nn_6.keras', 'ga_generation_0_nn_28.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_31', 'ga_generation_0_nn_8.keras', 'ga_generation_0_nn_5.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_1_nn_32', 'ga_generation_0_nn_8.keras', 'ga_generation_0_nn_5.keras', '1.0', '__one_point_crossover', '0.0', 'None'
'ga_generation_2_nn_9', 'ga_generation_1_nn_17.keras', 'ga_generation_0_nn_31.keras', '0.98989898989899', '__uniform_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_10', 'ga_generation_1_nn_17.keras', 'ga_generation_0_nn_31.keras', '0.98989898989899', '__uniform_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_11', 'ga_generation_1_nn_31.keras', 'ga_generation_1_nn_23.keras', '0.98989898989899', '__multi_point_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_12', 'ga_generation_1_nn_31.keras', 'ga_generation_1_nn_23.keras', '0.98989898989899', '__multi_point_crossover', '0.010101010101010102', 'None'
'ga_generation_2_nn_13', 'ga_generation_1_nn_31.keras', 'ga_generation_0_nn_31.keras', '0.98989898989899', '__multivariate_crossover', '0.010101010101010102', 'None'
